동,대형마트 수,백화점 수,전체 마트 수
가양2동,1,0,1
가양3동,1,0,1
공덕동,1,0,1
구로3동,1,0,1
구로5동,1,1,2
구의3동,1,0,1
길음2동,2,1,3
남현동,1,0,1
대치4동,0,1,1
독산1동,2,0,2
등촌1동,1,0,1
등촌3동,0,1,1
망우본동,1,0,1
면목5동,1,0,1
명일2동,1,0,1
목1동,1,1,2
묵1동,1,0,1
문래동,1,0,1
문정2동,1,0,1
반포3동,1,1,2
반포4동,0,1,1
방학1동,1,0,1
보라매동,0,1,1
사당2동,0,1,1
삼성1동,0,1,1
삼양동,1,0,1
상계2동,0,1,1
상봉1동,1,0,1
상봉2동,1,0,1
서교동,1,0,1
서초3동,1,0,1
성산2동,1,0,1
성수2가1동,1,0,1
소공동,0,2,2
송중동,0,1,1
수색동,1,0,1
시흥1동,1,0,1
신내2동,1,0,1
신도림동,1,1,2
신사동,0,1,1
신촌동,0,1,1
압구정동,0,2,2
양재2동,2,0,2
양평1동,2,0,2
여의동,1,1,2
역삼2동,1,0,1
영등포동,1,1,2
영등포본동,0,1,1
용신동,1,0,1
월곡2동,1,0,1
응암1동,1,0,1
자양3동,1,1,2
잠실3동,1,1,2
잠실6동,2,1,3
전농1동,1,1,2
중계1동,1,0,1
중계2.3동,1,1,2
창5동,1,0,1
천호1동,1,0,1
천호2동,1,1,2
청담동,0,1,1
한강로동,2,1,3
행당1동,1,0,1
황학동,1,0,1
회현동,1,1,2
