자치구,동,대형마트 수,백화점 수
종로구,종로1.2.3.4가동,0,0
종로구,종로5·6가동,0,0
종로구,창신1동,0,0
종로구,창신3동,0,0
종로구,숭인2동,0,0
중구,소공동,0,2
중구,회현동,1,1
중구,명동,0,0
중구,광희동,0,0
중구,을지로동,0,0
중구,황학동,1,0
중구,신당동,0,0
중구,약수동,0,0
용산구,원효로2동,0,0
용산구,이태원1동,0,0
용산구,서빙고동,0,0
용산구,보광동,0,0
용산구,한강로동,2,1
성동구,마장동,0,0
성동구,행당1동,1,0
성동구,행당2동,0,0
성동구,성수2가1동,1,0
성동구,성수2가3동,0,0
성동구,용답동,0,0
성동구,왕십리도선동,0,0
성동구,금호2.3가동,0,0
성동구,옥수동,0,0
광진구,화양동,0,0
광진구,군자동,0,0
광진구,중곡1동,0,0
광진구,중곡4동,0,0
광진구,구의2동,0,0
광진구,구의3동,1,0
광진구,광장동,0,0
광진구,자양2동,0,0
광진구,자양3동,1,1
광진구,자양4동,0,0
동대문구,회기동,0,0
동대문구,휘경1동,0,0
동대문구,청량리동,0,0
동대문구,용신동,1,0
동대문구,제기동,0,0
동대문구,전농1동,1,1
동대문구,장안1동,0,0
동대문구,장안2동,0,0
동대문구,이문1동,0,0
동대문구,이문2동,0,0
동대문구,답십리1동,0,0
중랑구,면목5동,1,0
중랑구,면목7동,0,0
중랑구,상봉1동,1,0
중랑구,상봉2동,1,0
중랑구,중화2동,0,0
중랑구,묵1동,1,0
중랑구,망우3동,0,0
중랑구,신내1동,0,0
중랑구,신내2동,1,0
중랑구,면목본동,0,0
중랑구,망우본동,1,0
성북구,돈암2동,0,0
성북구,보문동,0,0
성북구,정릉1동,0,0
성북구,길음1동,0,0
성북구,길음2동,2,1
성북구,월곡1동,0,0
성북구,월곡2동,1,0
성북구,성북동,0,0
성북구,삼선동,0,0
성북구,동선동,0,0
강북구,번1동,0,0
강북구,수유1동,0,0
강북구,수유2동,0,0
강북구,수유3동,0,0
강북구,삼양동,1,0
강북구,송중동,0,1
강북구,송천동,0,0
강북구,인수동,0,0
도봉구,쌍문2동,0,0
도봉구,방학1동,1,0
도봉구,방학3동,0,0
도봉구,창2동,0,0
도봉구,창5동,1,0
도봉구,도봉2동,0,0
노원구,월계3동,0,0
노원구,하계1동,0,0
노원구,중계본동,0,0
노원구,중계1동,1,0
노원구,상계1동,0,0
노원구,상계2동,0,1
노원구,상계5동,0,0
노원구,중계2.3동,1,1
노원구,공릉1동,0,0
은평구,불광1동,0,0
은평구,갈현2동,0,0
은평구,대조동,0,0
은평구,응암1동,1,0
