user,comment
ramesh g,헬륨을 넣은 지수 목소리 너무 귀여웠어요 🤩
Ali Kaleli,Jensoo and chaelisaa
Ali Kaleli,roséé yeaah
Ali Kaleli,Jisoo unnie 😅
Ali Kaleli,Oh..old
Yasmim,Jisoo esse dia tava o auge da fofura
Zzzzz,혹시 D u aLWays pUT uR mAKe UP oN
Ana Paula Rocha,Love. blekpink
Sandy Roblox,احبكممممممممم هوايااااا💞💖💗💓💝❤️💙💚💜💛🤍
Sendita Bela,2022 here!!miss them sm!!
ضي قيمز,₩¥£€£¥¥£¥££€
pxchy.kpopluvr,Jisoo is so adorable she looked so cute as she woke up and her little helium song she’s so cuteeeeeee
———————-🎀 Love,Love ❤️ 😩
kim taehung arme for ever,jisoo so cut🥺💜
Jemima Steele-Smith,the toast scene is very funny and Jisoo's helium voice is soooo cute
syhmi,5:00 OUR PRIDE JISOO'S DAY❤HAPPY BIRTHDAY JISOO!❄
Drishti Tomar,Happy birthday jisoo🤗🤗
KPOP-TABI:3,안녕하세요 사랑합니다 정말 사랑합니다 콜롬비아에서 인사드립니다 한국말밖에 모릅니다
ლ• .̫ •ლ,5:00 넘 귀여워
jaya sharma,Happy birthday our dear queen 👑 ❤️ 🍫 🍰 🎂 🎊 🎉 😘💞🌹😍Jisoo cute kim jisoo
ShanicePlayz,"Woah rose toast is definitely tasty im hungry



I wanna comment this for months lol now i can"
Edna Ruiz,😍love
Gerrard Bethan,ROSE   IMUT   BANGET
lan chan,jisoo happy birthday
Pretty Savage,지수 누나 생일을 축하해요 🥳
Namira Santi,3 년 전
Lou Sin,I love how Jichu isn't afraid of the oven! I respect her!!😌😊🧡🧡🤩🤩
Ecrin Öztürk,Sizleri çok seviyom 💜
น่ารัก,อยากให้เพื่อนที่ระลึกต้าอยากให้พวกคุณพ่อกับพี่ลิซ่าไปโรงแรมจัง
; 𝐢𝐦𝐚𝐠𝐞𝐱,5:04
Raven Neat,"Lisa asking Rose the names of the cats, must be how all of her cats are named xD"
Lexi stone,So cute 🖤💗
lina 😩,They are so cute I watched this video more than once💖
𝐵𝑈𝑇𝑇𝐸𝑅𖤐,😭💓
روابي Tv,I love you blackpink
tøca life waffle🥞,Jennie🤍
Jonni Manalu,Lisa so cute 😉
Anum khan,Jisoo is looking so cute😍my biaaaas
شیدا محمدی,سلام من از ایران این پیام رو میزارم و میدونستین که توی ایران هم کلی طرفطار دارید؟
ItzIllinois,지수 너무 귀여운 목소리 좋아!
Lalita Nayak,Congratulations 🎊 for 71m subscribers
K-POP MUSIC & Group,Jennie helium so really cute
jorge perez,I like your video
Janet Contreras,너무너무너무 귀여운 소품들 <33 ♡♡♡♡♡♡
Lina1,노래 부르는 제니와 지수 너무 귀여워
iliaa😩,بندخل 2022 وللحين م ناشري مسلسلات 💔.
Pearl Wanjiku,P
Richa Srivastava,1:08 too cute 😊😍
Pleci mania Medan,나는 Jenni를 정말 좋아한다 그녀는 매우 아름답고 상냥하다
버논에빠져버림,7:07 여기에 코난 인형 있네용ㅋㅋㅋ
CHERRY,로제 너무 맛있게 먹어서 좋아요🍞
💗lia_duac💗,한국인 jenie and iisoo rose lisa my bias hi
องหญิงปอ,cute 😜😜
Fun Zone,omg jisoo song is so cute and Jennie is cute as a baby
Lady Dana,BlackPiiiiiink! I LOVE YOU VERY MUCH (FOREVER)!!!!
Trần Trương Ngọc Tuyết,Very cute
jisoo,Cuteeee😭
Oxi_roblox,사랑해 <3 Love 사랑해 나는 그들의 팬이야 💕 💖 Blink at Heart 💟 ❣
Michelle Ramos sebastian😊,🖤BLΛƆKPIИK💗
ひゆか,1:09 好きです
Queen Arifianto,Hai blackpink
criket boy,Jisoo looking very cute
Lucky Khan,Wowo 😂
Deep Mala,I love you blackpink
fooz bokhari,Why is the chef so handsome tho......
Lakmi methruvi Jayawardhane,Blackpink lisa jinee rose jisoo sooo cute💜
ox,"지수, 그녀는 네 명의 맏언니입니다. 하지만 그녀는 우리가 보기에 항상 사랑스럽습니다. 우리는 그녀를 사랑합니다.❤️💌"
P a m,I love black pink 💖🎄🇹🇭
yee coco,4:45 like
Hieu Tran,HAPPY HOLIDAYS
Th Ds,❤️❤️
Tường Vy Bùi,A nhon a nhòn a từ Jisoo nhon
BTS ARMY 💜,🖤💓
Bassin de Thau 34,Jisoo is my fan😍🥰
jf,Watching this because Jisoo isn't updating on Christmas this year..
lakshmi yellamraju,"when playing with fire comes on at 12:05

everyone else: watching the episode

me: vibing to the song"
BTS  HAYRANI 💋😍,Usss AYALLAH YİYEREM BULARI😘😘😘😘
Marina Souza,Merry Christmas girls I love you all 😚💗🎄
P A N G┇นมหวาน,ตามหาเม้นต์ไทย;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jimin,카카 지수
